Date,Voice,Party,AverageVotes,avg_sentiment,No_News
2024-09-15,Fox,Democratic,308,0.177178,100
2024-09-15,Fox,Republican,230,0.177178,100
2024-09-16,Fox,Democratic,304,0.162661,100
2024-09-16,Fox,Republican,234,0.162661,100
2024-09-17,Fox,Democratic,302,-0.002890000000000003,100
2024-09-17,Fox,Republican,236,-0.002890000000000003,100
2024-09-18,Fox,Democratic,308,0.12109400000000001,100
2024-09-18,Fox,Republican,230,0.12109400000000001,100
2024-09-19,Fox,Democratic,304,0.044624,100
2024-09-19,Fox,Republican,234,0.044624,100
2024-09-20,Fox,Democratic,305,0.051529,100
2024-09-20,Fox,Republican,233,0.051529,100
2024-09-21,Fox,Democratic,304,0.07308888888888888,100
2024-09-21,Fox,Republican,234,0.07308888888888888,100
2024-09-22,Fox,Democratic,301,0.090898,100
2024-09-22,Fox,Republican,237,0.090898,100
2024-09-23,Fox,Democratic,305,0.103454,100
2024-09-23,Fox,Republican,233,0.103454,100
2024-09-24,Fox,Democratic,303,0.027053,100
2024-09-24,Fox,Republican,235,0.027053,100
2024-09-25,Fox,Democratic,306,0.118505,100
2024-09-25,Fox,Republican,232,0.118505,100
2024-09-26,Fox,Democratic,305,0.043932,100
2024-09-26,Fox,Republican,233,0.043932,100
2024-09-27,Fox,Democratic,304,0.040547,100
2024-09-27,Fox,Republican,234,0.040547,100
2024-09-28,Fox,Democratic,262,0.04408,100
2024-09-28,Fox,Republican,276,0.04408,100
2024-08-13,MSNBC,Democratic,310,-0.138197,100
2024-08-13,MSNBC,Republican,228,-0.138197,100
2024-08-14,MSNBC,Democratic,307,0.128009,100
2024-08-14,MSNBC,Republican,231,0.128009,100
2024-08-15,MSNBC,Democratic,305,0.063372,100
2024-08-15,MSNBC,Republican,233,0.063372,100
2024-08-16,MSNBC,Democratic,317,0.136406,100
2024-08-16,MSNBC,Republican,221,0.136406,100
2024-08-17,MSNBC,Democratic,320,0.053172,100
2024-08-17,MSNBC,Republican,218,0.053172,100
2024-08-18,MSNBC,Democratic,318,0.008784000000000004,100
2024-08-18,MSNBC,Republican,220,0.008784000000000004,100
2024-08-19,MSNBC,Democratic,308,0.137491,100
2024-08-19,MSNBC,Republican,230,0.137491,100
2024-08-20,MSNBC,Democratic,307,0.09153599999999999,100
2024-08-20,MSNBC,Republican,231,0.09153599999999999,100
2024-08-21,MSNBC,Democratic,314,0.095619,100
2024-08-21,MSNBC,Republican,224,0.095619,100
2024-08-22,MSNBC,Democratic,315,0.147776,100
2024-08-22,MSNBC,Republican,223,0.147776,100
2024-08-23,MSNBC,Democratic,305,0.204698,100
2024-08-23,MSNBC,Republican,233,0.204698,100
2024-08-24,MSNBC,Democratic,289,0.115295,100
