state,state_name_count,feed_date
Maryland,0,2024-08-23
Massachusetts,0,2024-08-23
Michigan,0,2024-08-23
Minnesota,2,2024-08-23
Mississippi,0,2024-08-23
Missouri,0,2024-08-23
Montana,0,2024-08-23
Nebraska,0,2024-08-23
Nevada,0,2024-08-23
New Hampshire,0,2024-08-23
New Jersey,0,2024-08-23
New Mexico,0,2024-08-23
New York,0,2024-08-23
North Carolina,2,2024-08-23
North Dakota,0,2024-08-23
Ohio,0,2024-08-23
Oklahoma,0,2024-08-23
Oregon,0,2024-08-23
Pennsylvania,0,2024-08-23
Rhode Island,0,2024-08-23
South Carolina,0,2024-08-23
South Dakota,0,2024-08-23
Tennessee,0,2024-08-23
Texas,0,2024-08-23
Utah,0,2024-08-23
Vermont,0,2024-08-23
Virginia,0,2024-08-23
Washington,1,2024-08-23
West Virginia,0,2024-08-23
Wisconsin,0,2024-08-23
Wyoming,0,2024-08-23
DC,0,2024-08-23
Alabama,0,2024-08-27
Alaska,0,2024-08-27
Arizona,1,2024-08-27
Arkansas,0,2024-08-27
California,2,2024-08-27
Colorado,0,2024-08-27
Connecticut,0,2024-08-27
Delaware,0,2024-08-27
Florida,2,2024-08-27
Georgia,8,2024-08-27
Hawaii,1,2024-08-27
Idaho,0,2024-08-27
Illinois,0,2024-08-27
Indiana,0,2024-08-27
Iowa,0,2024-08-27
Kansas,0,2024-08-27
Kentucky,3,2024-08-27
Louisiana,0,2024-08-27
Maine,0,2024-08-27
Maryland,0,2024-08-27
Massachusetts,0,2024-08-27
Michigan,1,2024-08-27
Minnesota,1,2024-08-27
Mississippi,0,2024-08-27
Missouri,0,2024-08-27
Montana,0,2024-08-27
Nebraska,0,2024-08-27
Nevada,4,2024-08-27
New Hampshire,0,2024-08-27
New Jersey,0,2024-08-27
New Mexico,0,2024-08-27
New York,7,2024-08-27
North Carolina,0,2024-08-27
North Dakota,0,2024-08-27
Ohio,0,2024-08-27
Oklahoma,0,2024-08-27
Oregon,0,2024-08-27
Pennsylvania,6,2024-08-27
Rhode Island,0,2024-08-27
South Carolina,0,2024-08-27
South Dakota,1,2024-08-27
Tennessee,0,2024-08-27
Texas,3,2024-08-27
Utah,0,2024-08-27
Vermont,0,2024-08-27
Virginia,1,2024-08-27
Washington,1,2024-08-27
West Virginia,0,2024-08-27
Wisconsin,0,2024-08-27
Wyoming,0,2024-08-27
DC,0,2024-08-27
Alabama,0,2024-08-26
Alaska,0,2024-08-26
Arizona,1,2024-08-26
Arkansas,0,2024-08-26
California,1,2024-08-26
Colorado,0,2024-08-26
Connecticut,0,2024-08-26
